Year,Region_AR,Region_EN,Hospital_AR,Hospital_EN,Speciality_AR,Speciality_EN,Beds
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,امراض باطنة,Medicine,22
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,امراض صدرية,Chest,0
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,امراض قلــــب,Cardiology,15
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,امراض الكلى,Nephrology,0
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,امراض الكلى,Neurology,5
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,امراض نقسيه,Psychiatry,0
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,جلدية وتناسلیة,Dermatology,0
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,اطفال باطنـــة,Paediatric Medicine,0
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,جراحة عامــــة,General Surgery,18
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,جــــراحة صدر,Thoracic Surgery,0
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,جـــــراحة قلب,Cardiac Surgery,0
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,جراحة اعصـاب,Neurosurgery,4
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,مسالك بولیــــة,Urology,2
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,جراحة اطفـــال,Paediatric Surgery,0
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,عظام,Orthopedics,22
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,حروق و تقويم,Plastic Surgery,6
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,عیــــــــــــــون,Ophthalmology,2
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,انــــــــف واذن,"Ear, Nose, and Throat",3
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,نســــاء وولادة,Gynaecology,0
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,قبـــل الـولادة ,Obstetrics (Antenatal),0
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,بعـــــد الولادة,Obstetrics (Postnatal),0
2007,,Sharjah,الكـــــــــــويت,Kuwait,أوعية دموية,Cardiovascular,0
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,الاورام,Tumors,0
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,عـــــام,General Medicine,0
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,مسنـــــــــــین,Geriatrics,0
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,تاھیــــــــــــل,Rehabilitation,0
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,اسنــــــــــــان,Dental,0
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,الخدج,"S.C.B.U
",0
2007,الشارقة,Sharjah,الكـــــــــــويت,Kuwait,اخـــــــــــــرى,Others,7
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,امراض باطنة,Medicine,43
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,امراض صدرية,Chest,0
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,امراض قلــــب,Cardiology,20
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,امراض الكلى,Nephrology,9
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,امراض الكلى,Neurology,8
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,امراض نقسيه,Psychiatry,0
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,جلدية وتناسلیة,Dermatology,2
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,اطفال باطنـــة,Paediatric Medicine,24
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,جراحة عامــــة,General Surgery,18
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,جــــراحة صدر,Thoracic Surgery,0
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,جـــــراحة قلب,Cardiac Surgery,0
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,جراحة اعصـاب,Neurosurgery,10
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,مسالك بولیــــة,Urology,18
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,جراحة اطفـــال,Paediatric Surgery,0
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,عظام,Orthopedics,29
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,حروق و تقويم,Plastic Surgery,9
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,عیــــــــــــــون,Ophthalmology,7
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,انــــــــف واذن,"Ear, Nose, and Throat",11
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,نســــاء وولادة,Gynaecology,20
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,قبـــل الـولادة ,Obstetrics (Antenatal),37
2007,الشارقة,Sharjah,القاسمــــــــــى,Qasemi,بعـــــد الولادة,Obstetrics (Postnatal),30
